date,Open,High,Low,Weekday,Close
2012-06-21,1.5705,1.5732,1.5575,Thursday,1.5596
2012-06-20,1.5714,1.5777,1.565,Wednesday,1.5704
2012-06-19,1.5665,1.5757,1.5613,Tuesday,1.5724
2012-06-18,1.5727,1.573,1.5634,Monday,1.5666
2012-06-15,1.5551,1.5726,1.5474,Friday,1.5703
2012-06-14,1.551,1.5563,1.5471,Thursday,1.5551
2012-06-13,1.5562,1.5597,1.5501,Wednesday,1.5509
2012-06-12,1.5469,1.5588,1.5454,Tuesday,1.5567
2012-06-11,1.5524,1.5581,1.5469,Monday,1.5472
2012-06-08,1.5531,1.5537,1.5402,Friday,1.5454
2012-06-07,1.5489,1.5599,1.5429,Thursday,1.5532
2012-06-06,1.5373,1.5515,1.537,Wednesday,1.5488
2012-06-05,1.5382,1.5408,1.5319,Tuesday,1.5376
2012-06-04,1.5368,1.5415,1.5339,Monday,1.5381
2012-06-01,1.539,1.5435,1.5266,Friday,1.5361
2012-05-31,1.548,1.5526,1.5359,Thursday,1.5403
2012-05-30,1.5632,1.5638,1.5472,Wednesday,1.5479
2012-05-29,1.5675,1.5716,1.5606,Tuesday,1.5632
2012-05-28,1.5677,1.5717,1.567,Monday,1.5679
2012-05-25,1.5667,1.5699,1.5629,Friday,1.5657
2012-05-24,1.5691,1.5726,1.5637,Thursday,1.5668
2012-05-23,1.5762,1.5771,1.5674,Wednesday,1.569
2012-05-22,1.5821,1.5847,1.5739,Tuesday,1.5763
2012-05-21,1.5808,1.584,1.5778,Monday,1.5821
2012-05-18,1.5781,1.5837,1.573,Friday,1.5816
2012-05-17,1.591,1.5932,1.5778,Thursday,1.5781
2012-05-16,1.5996,1.5997,1.5887,Wednesday,1.5911
2012-05-15,1.6097,1.6113,1.5987,Tuesday,1.5998
2012-05-14,1.6064,1.6122,1.605,Monday,1.6096
2012-05-11,1.6131,1.6143,1.6057,Friday,1.6066
2012-05-10,1.613,1.6182,1.609,Thursday,1.6131
2012-05-09,1.6151,1.6158,1.607,Wednesday,1.6131
2012-05-08,1.619,1.6198,1.6123,Tuesday,1.6152
2012-05-07,1.615,1.6197,1.6112,Monday,1.6193
2012-05-04,1.6179,1.6199,1.6141,Friday,1.6144
2012-05-03,1.6195,1.6215,1.6159,Thursday,1.6178
2012-05-02,1.622,1.6238,1.6159,Wednesday,1.6194
2012-05-01,1.6237,1.6247,1.6185,Tuesday,1.6218
2012-04-30,1.6273,1.63,1.6219,Monday,1.6237
