Open,High,Low,Weekday,Close
1.9662,1.9711,1.9579,Thursday,1.9602
1.2696,1.2715,1.2616,Monday,1.2683
1.3363,1.3445,1.3288,Monday,1.3324
1.7762,1.795,1.7755,Thursday,1.7927
1.8007,1.8039,1.7957,Tuesday,1.8003
1.743,1.7658,1.7319,Tuesday,1.752
1.4004,1.4105,1.3981,Friday,1.4089
1.668,1.6695,1.6622,Wednesday,1.6668
1.3598,1.3602,1.3544,Friday,1.355
1.6594,1.6603,1.6557,Friday,1.6573
1.1816,1.2229,1.1773,Thursday,1.2157
2.0465,2.0547,2.046,Wednesday,2.0527
1.9612,1.9723,1.9601,Wednesday,1.9697
1.8606,1.8648,1.8526,Wednesday,1.8565
1.8644,1.8771,1.8641,Tuesday,1.8738
1.5746,1.575,1.5538,Wednesday,1.5568
1.7445,1.7474,1.7376,Wednesday,1.7413
1.2671,1.2719,1.2627,Wednesday,1.2639
1.234,1.2419,1.2286,Wednesday,1.2385
1.6579,1.6636,1.6519,Friday,1.6609
1.6491,1.6543,1.6355,Thursday,1.6383
1.6134,1.6139,1.6018,Monday,1.6019
1.3657,1.3734,1.3656,Thursday,1.3673
1.6169,1.6242,1.6126,Thursday,1.6226
1.2147,1.2178,1.2099,Wednesday,1.2146
1.3481,1.3515,1.3407,Tuesday,1.3454
1.5355,1.5384,1.5276,Monday,1.5301
1.2172,1.2176,1.1975,Friday,1.2094
1.6241,1.6268,1.6094,Tuesday,1.614
1.3286,1.3321,1.3238,Wednesday,1.3248
1.3337,1.3375,1.3281,Thursday,1.3299
1.6832,1.6833,1.6767,Friday,1.6771
1.4699,1.474,1.4637,Thursday,1.4665
1.3292,1.3376,1.3287,Monday,1.33
1.5648,1.5688,1.5577,Monday,1.5583
1.8811,1.8928,1.8803,Wednesday,1.8877
1.3032,1.3177,1.2986,Friday,1.3173
1.6617,1.6714,1.6608,Thursday,1.6622
1.2824,1.2905,1.2809,Tuesday,1.29
1.5823,1.5832,1.5705,Tuesday,1.5729
1.3191,1.326,1.3168,Friday,1.3212
1.8683,1.8708,1.8622,Friday,1.8672
1.337,1.3389,1.3306,Wednesday,1.3378
1.2483,1.2503,1.2354,Monday,1.239
1.5711,1.5758,1.5696,Wednesday,1.5739
1.358,1.3621,1.3533,Wednesday,1.3543
2.0042,2.006,1.9976,Monday,2.0007
1.3574,1.363,1.3536,Thursday,1.357
1.2916,1.2991,1.2904,Wednesday,1.2969
1.3197,1.3357,1.3184,Friday,1.3349
1.3185,1.3193,1.3088,Wednesday,1.3101
1.5741,1.5815,1.5725,Thursday,1.5774
1.6145,1.6247,1.6117,Tuesday,1.623
1.5805,1.5883,1.5777,Friday,1.587
